Latitude,Longitude,Pb,Cu,Region
43.038155,-83.660962,0,0,North
43.037768,-83.731851,2,60,North
43.037728,-83.729818,5,110,North
43.037719,-83.703679,0,25,North
43.037561,-83.731587,0,90,North
43.037443,-83.660876,1,0,North
43.037326,-83.715064,52,0,North
43.037125,-83.672197,0,0,North
43.037107,-83.64891,1,0,North
43.037031,-83.664559,3,130,North
43.036839,-83.6458,2.5,30,North
43.03656,-83.729902,3,0,North
43.036072,-83.647875,3,60,North
43.036068,-83.678076,6,60,North
43.035816,-83.711488,0,0,North
43.035707,-83.713923,0,0,North
43.035683,-83.643534,0,0,North
43.035675,-83.644086,1.5,0,North
43.03565,-83.646041,4,0,North
43.035602,-83.67557,0,130,North
43.035229,-83.67161,0,0,North
43.035223,-83.644248,0,0,North
43.035221,-83.703572,0,0,North
43.03512,-83.716501,0,0,North
43.035049,-83.639225,0,0,North
43.034868,-83.728026,0.5,90,North
43.034633,-83.726983,5,90,North
43.034603,-83.712263,2,0,North
43.034386,-83.71226,13,150,North
43.034385,-83.673464,3,70,North
43.033725,-83.722842,1,160,North
43.033568,-83.642485,1,0,North
43.033251,-83.736502,0,0,North
43.032964,-83.728623,0,0,North
43.032946,-83.733938,0,0,North
43.032941,-83.733662,0.5,100,North
43.032826,-83.722216,3,0,North
43.032676,-83.732091,0.666666667,0,North
43.032568,-83.641475,0,0,North
43.032441,-83.636533,0,0,North
43.032426,-83.695663,1,0,North
43.032326,-83.719821,9,0,North
43.032218,-83.712536,0,0,North
43.032088,-83.675346,18,345,North
43.03203,-83.658645,0,0,North
43.031923,-83.726136,6.5,100,North
43.031858,-83.72863,77,590,North
43.031827,-83.729324,4,256.6666667,North
43.031777,-83.642533,0,0,North
43.031756,-83.724827,0,30,North
43.031749,-83.660517,2,0,North
43.031702,-83.732658,2.333333333,160,North
43.031602,-83.693073,0,90,North
43.031319,-83.673456,0,0,North
43.031186,-83.705495,1.5,90,North
43.031015,-83.671606,15,0,North
43.030714,-83.732011,1,0,North
43.030547,-83.658225,0,0,North
43.030349,-83.736038,0,0,North
43.030137,-83.66754,0,0,North
43.03004,-83.660902,4.5,40,North
43.029968,-83.663836,3,65,North
43.029879,-83.712324,6,40,North
43.029862,-83.735891,8,150,North
43.029804,-83.657747,0,0,North
43.029546,-83.712673,1,0,North
43.029305,-83.67691,0,0,North
43.029291,-83.661075,5,0,North
43.028803,-83.740447,0,0,North
43.028548,-83.701914,0,0,North
43.028547,-83.729459,0,90,North
43.028507,-83.740295,0,70,North
43.028325,-83.711271,1.5,110,North
43.028104,-83.729329,0,25,North
43.028031,-83.736124,3,110,North
43.027889,-83.69223,0,60,North
43.027757,-83.663805,2,0,North
43.027719,-83.729011,0,0,North
43.027613,-83.735523,2,150,North
43.02743,-83.735777,0,0,North
43.027334,-83.725291,6,70,North
43.027281,-83.662507,0,0,North
43.027141,-83.714563,0,0,North
43.02714,-83.733278,0,0,North
43.027085,-83.660257,0,0,North
43.026952,-83.673978,2,130,North
43.02692,-83.667935,2,120,North
43.026615,-83.732925,2,0,North
43.026509,-83.728577,0,60,North
43.026348,-83.677196,0,0,North
43.026263,-83.729206,0,60,North
